Month,Region,Product_Category,Sales_Channel,Units_Sold,Gross_Revenue_USD,Discounts_USD,Net_Revenue_USD,COGS_USD,Gross_Profit_USD,Gross_Margin_Pct,Marketing_Spend_USD,Net_Profit_USD,Customer_Acquisition_Count,Repeat_Customer_Pct
2025-01,North America,Electronics,Direct Web,1420,284000,14200,269800,148390,121410,45.0,42000,79410,620,41.2
2025-01,North America,Home & Kitchen,Amazon,2100,168000,8400,159600,92568,67032,42.0,24000,43032,950,28.5
2025-01,Europe,Fashion & Apparel,Social Shop,3400,204000,20400,183600,91800,91800,50.0,38000,53800,1420,33.8
2025-01,Asia-Pacific,Electronics,Wholesale,4500,675000,67500,607500,425250,182250,30.0,15000,167250,110,65.4
2025-02,North America,Electronics,Direct Web,1560,312000,15600,296400,163020,133380,45.0,46000,87380,690,43.0
2025-02,North America,Home & Kitchen,Amazon,2300,184000,9200,174800,101384,73416,42.0,26000,47416,1040,29.1
2025-02,Europe,Fashion & Apparel,Social Shop,3800,228000,22800,205200,102600,102600,50.0,41000,61600,1580,35.2
2025-02,Asia-Pacific,Electronics,Wholesale,4200,630000,63000,567000,396900,170100,30.0,15000,155100,105,67.0
2025-03,North America,Electronics,Direct Web,1820,364000,18200,345800,190190,155610,45.0,52000,103610,810,44.5
2025-03,North America,Home & Kitchen,Amazon,2650,212000,10600,201400,116812,84588,42.0,29000,55588,1190,30.4
2025-03,Europe,Fashion & Apparel,Social Shop,4200,252000,25200,226800,113400,113400,50.0,47000,66400,1750,36.0
2025-03,Asia-Pacific,Electronics,Wholesale,4900,735000,73500,661500,463050,198450,30.0,16000,182450,120,68.2
2025-04,North America,Electronics,Direct Web,1750,350000,17500,332500,182875,149625,45.0,50000,99625,780,45.1
2025-04,North America,Home & Kitchen,Amazon,2800,224000,11200,212800,123424,89376,42.0,31000,58376,1260,31.2
2025-04,Europe,Fashion & Apparel,Social Shop,4600,276000,27600,248400,124200,124200,50.0,51000,73200,1920,37.5
2025-04,Asia-Pacific,Electronics,Wholesale,4600,690000,69000,621000,434700,186300,30.0,15500,170800,115,69.0
2025-05,North America,Electronics,Direct Web,2050,410000,20500,389500,214225,175275,45.0,58000,117275,910,46.8
2025-05,North America,Home & Kitchen,Amazon,3100,248000,12400,235600,136648,98952,42.0,34000,64952,1390,32.0
2025-05,Europe,Fashion & Apparel,Social Shop,5100,306000,30600,275400,137700,137700,50.0,56000,81700,2130,38.9
2025-05,Asia-Pacific,Electronics,Wholesale,5200,780000,78000,702000,491400,210600,30.0,17000,193600,130,70.5
2025-06,North America,Electronics,Direct Web,2300,460000,23000,437000,240350,196650,45.0,63000,133650,1020,48.0
2025-06,North America,Home & Kitchen,Amazon,3450,276000,13800,262200,152076,110124,42.0,38000,72124,1540,33.5
2025-06,Europe,Fashion & Apparel,Social Shop,5700,342000,34200,307800,153900,153900,50.0,62000,91900,2380,40.1
2025-06,Asia-Pacific,Electronics,Wholesale,5800,870000,87000,783000,548100,234900,30.0,18500,216400,145,71.8
2025-07,North America,Electronics,Direct Web,2450,490000,24500,465500,256025,209475,45.0,67000,142475,1080,49.2
2025-07,North America,Home & Kitchen,Amazon,3700,296000,14800,281200,163096,118104,42.0,41000,77104,1650,34.2
2025-07,Europe,Fashion & Apparel,Social Shop,6200,372000,37200,334800,167400,167400,50.0,68000,99400,2590,41.0
2025-07,Asia-Pacific,Electronics,Wholesale,6100,915000,91500,823500,576450,247050,30.0,19000,228050,152,72.4
2025-08,North America,Electronics,Direct Web,2600,520000,26000,494000,271700,222300,45.0,71000,151300,1150,50.1
2025-08,North America,Home & Kitchen,Amazon,3900,312000,15600,296400,171912,124488,42.0,43000,81488,1740,35.0
2025-08,Europe,Fashion & Apparel,Social Shop,6600,396000,39600,356400,178200,178200,50.0,73000,105200,2760,42.0
2025-08,Asia-Pacific,Electronics,Wholesale,6400,960000,96000,864000,604800,259200,30.0,20000,239200,160,73.0
2025-09,North America,Electronics,Direct Web,2750,550000,27500,522500,287375,235125,45.0,75000,160125,1210,51.0
2025-09,North America,Home & Kitchen,Amazon,4150,332000,16600,315400,182932,132468,42.0,46000,86468,1850,35.8
2025-09,Europe,Fashion & Apparel,Social Shop,7100,426000,42600,383400,191700,191700,50.0,78000,113700,2970,43.2
2025-09,Asia-Pacific,Electronics,Wholesale,6700,1005000,100500,904500,633150,271350,30.0,21000,250350,168,74.1
2025-10,North America,Electronics,Direct Web,2900,580000,29000,551000,303050,247950,45.0,79000,168950,1280,52.0
