Quarter,Total_Revenue_USD,Cost_of_Goods_Sold_USD,Gross_Profit_USD,Gross_Margin_Pct,Research_and_Development_USD,Sales_and_Marketing_USD,General_and_Administrative_USD,Total_OPEX_USD,Operating_Income_EBIT_USD,Operating_Margin_Pct,EBITDA_USD,EBITDA_Margin_Pct,Free_Cash_Flow_USD,Headcount
2023-Q1,4200000,1470000,2730000,65.0,950000,1200000,680000,2830000,-100000,-2.38,120000,2.86,-450000,85
2023-Q2,4850000,1650000,3200000,66.0,1050000,1350000,720000,3120000,80000,1.65,320000,6.60,-180000,94
2023-Q3,5600000,1850000,3750000,67.0,1150000,1500000,760000,3410000,340000,6.07,610000,10.89,120000,105
2023-Q4,6500000,2080000,4420000,68.0,1280000,1750000,820000,3850000,570000,8.77,890000,13.69,380000,118
2024-Q1,7200000,2230000,4970000,69.0,1400000,1900000,880000,4180000,790000,10.97,1140000,15.83,560000,126
2024-Q2,8100000,2430000,5670000,70.0,1550000,2100000,940000,4590000,1080000,13.33,1480000,18.27,820000,138
2024-Q3,9200000,2670000,6530000,71.0,1700000,2350000,1010000,5060000,1470000,15.98,1920000,20.87,1150000,150
2024-Q4,10600000,2970000,7630000,72.0,1900000,2700000,1100000,5700000,1930000,18.21,2450000,23.11,1520000,165
2025-Q1,11800000,3190000,8610000,73.0,2100000,2950000,1180000,6230000,2380000,20.17,2980000,25.25,1890000,178
2025-Q2,13200000,3430000,9770000,74.0,2300000,3250000,1260000,6810000,2960000,22.42,3640000,27.58,2380000,192
2025-Q3,14900000,3720000,11180000,75.0,2550000,3600000,1350000,7500000,3680000,24.70,4460000,29.93,2950000,208
2025-Q4,16800000,4030000,12770000,76.0,2800000,4000000,1450000,8250000,4520000,26.90,5420000,32.26,3680000,225
