Cohort_Month,Customer_Tier,Active_Customers_Start,New_Customers,Churned_Customers,Churn_Rate_Pct,MRR_USD,Expansion_MRR_USD,Contraction_MRR_USD,Net_MRR_USD,ARPU_USD,CAC_USD,LTV_USD,LTV_CAC_Ratio,Net_Revenue_Retention_Pct
2025-01,Starter,1200,180,42,3.5,58800,2400,1200,60000,49.0,320,1400,4.38,102.0
2025-01,Growth,450,45,9,2.0,112500,6800,2100,117200,250.0,1450,12500,8.62,104.1
2025-01,Enterprise,85,6,1,1.2,170000,15000,4000,181000,2000.0,8500,166667,19.61,106.4
2025-02,Starter,1338,195,48,3.6,65562,2800,1400,66962,49.0,315,1361,4.32,102.1
2025-02,Growth,486,52,10,2.1,121500,7500,2400,126600,250.0,1420,11905,8.38,104.2
2025-02,Enterprise,90,7,1,1.1,180000,16500,4200,192300,2000.0,8400,181818,21.64,106.8
2025-03,Starter,1485,210,55,3.7,72765,3100,1600,74265,49.0,310,1324,4.27,102.0
2025-03,Growth,528,60,11,2.1,132000,8200,2600,137600,250.0,1400,11905,8.50,104.2
2025-03,Enterprise,96,8,1,1.0,192000,18000,4500,205500,2000.0,8300,200000,24.10,107.0
2025-04,Starter,1640,225,62,3.8,80360,3400,1800,81960,49.0,305,1289,4.23,101.9
2025-04,Growth,577,65,13,2.3,144250,9100,3000,150350,250.0,1390,10870,7.82,104.2
2025-04,Enterprise,103,9,2,1.9,206000,20000,5000,221000,2000.0,8200,105263,12.84,107.2
2025-05,Starter,1803,240,70,3.9,88347,3800,2000,90147,49.0,300,1256,4.19,102.0
2025-05,Growth,629,72,14,2.2,157250,10200,3200,164250,250.0,1370,11364,8.29,104.4
2025-05,Enterprise,110,11,1,0.9,220000,22500,5200,237300,2000.0,8100,222222,27.43,107.8
2025-06,Starter,1973,260,78,4.0,96677,4200,2300,98577,49.0,295,1225,4.15,101.9
2025-06,Growth,687,80,16,2.3,171750,11400,3500,179650,250.0,1350,10870,8.05,104.6
2025-06,Enterprise,120,12,1,0.8,240000,25000,5500,259500,2000.0,8000,250000,31.25,108.1
2025-07,Starter,2155,275,88,4.1,105595,4600,2600,107595,49.0,290,1195,4.12,101.8
2025-07,Growth,751,88,18,2.4,187750,12600,3900,196450,250.0,1340,10417,7.77,104.6
2025-07,Enterprise,131,14,2,1.5,262000,28000,6000,284000,2000.0,7900,133333,16.88,108.3
2025-08,Starter,2342,290,98,4.2,114758,5000,2900,116858,49.0,285,1167,4.09,101.8
2025-08,Growth,821,95,20,2.4,205250,14000,4200,215050,250.0,1330,10417,7.83,104.7
2025-08,Enterprise,143,15,1,0.7,286000,31000,6200,310800,2000.0,7800,285714,36.63,108.6
2025-09,Starter,2534,310,110,4.3,124166,5500,3200,126466,49.0,280,1140,4.07,101.8
2025-09,Growth,896,104,22,2.5,224000,15500,4600,234900,250.0,1320,10000,7.58,104.8
2025-09,Enterprise,157,17,2,1.3,314000,34500,6600,341900,2000.0,7700,153846,19.98,108.8
2025-10,Starter,2734,330,122,4.5,133966,6000,3600,136366,49.0,275,1089,3.96,101.7
2025-10,Growth,978,112,24,2.5,244500,17200,5000,256700,250.0,1310,10000,7.63,104.9
2025-10,Enterprise,172,19,1,0.6,344000,38000,7000,375000,2000.0,7600,333333,43.86,109.0
2025-11,Starter,2942,360,138,4.7,144158,6600,4100,146658,49.0,270,1043,3.86,101.7
2025-11,Growth,1066,125,27,2.5,266500,19000,5400,280100,250.0,1300,10000,7.69,105.1
2025-11,Enterprise,190,22,2,1.1,380000,42000,7500,414500,2000.0,7500,181818,24.24,109.0
2025-12,Starter,3164,390,155,4.9,155036,7300,4600,157736,49.0,265,1000,3.77,101.7
2025-12,Growth,1164,138,30,2.6,291000,21000,6000,306000,250.0,1290,9615,7.45,105.1
2025-12,Enterprise,210,25,2,1.0,420000,47000,8000,459000,2000.0,7400,200000,27.03,109.2
